CarGm,Date,Season,Season_type,Week,Team,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,OffSnp%,STSnp,STSnp%
0,,2023,DNP,1,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,2,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,3,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,4,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,5,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
1,2023-10-15,2023,REG,6,BAL,0,0,0,0,0,0,0,0,0,0.0,17,54.8
2,2023-10-22,2023,REG,7,BAL,0,0,0,0,1,1,9,0,2,3.3,10,47.6
0,,2023,DNP,8,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
3,2023-11-05,2023,REG,9,BAL,0,9,138,1,1,1,-4,0,14,18.4,13,48.1
4,2023-11-12,2023,REG,10,BAL,0,3,34,1,2,1,32,0,13,24.1,7,22.6
5,2023-11-16,2023,REG,11,BAL,0,8,33,0,1,1,8,0,24,36.4,5,15.6
6,2023-11-26,2023,REG,12,BAL,1,9,64,0,2,2,25,0,33,46.5,2,9.5
0,,2023,BYE,13,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
7,2023-12-10,2023,REG,14,BAL,0,9,54,0,2,1,8,0,24,33.3,6,16.2
8,2023-12-17,2023,REG,15,BAL,1,9,73,0,2,2,15,0,25,35.7,3,13.6
0,,2023,DNP,16,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,17,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2023,DNP,18,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,1,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,2,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,3,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,4,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,5,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,6,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,7,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,8,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,9,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
9,2024-11-07,2024,REG,10,BAL,0,0,0,0,0,0,0,0,2,3.2,7,25.0
10,2024-11-17,2024,REG,11,BAL,0,0,0,0,0,0,0,0,2,3.3,7,24.1
11,2024-11-25,2024,REG,12,BAL,0,0,0,0,0,0,0,0,0,0.0,7,25.9
0,,2024,DNP,13,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,BYE,14,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,15,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
0,,2024,DNP,16,BAL,0,0,0,0,0,0,0,0,0,0.0,0,0.0
12,2024-12-25,2024,REG,17,BAL,0,11,20,0,1,1,28,0,17,27.0,1,4.2
13,2025-01-04,2024,REG,18,BAL,0,4,10,0,0,0,0,0,15,21.4,3,12.0
